qseqid	sseqid	pident	length	qcovs	evalue	bitscore	confidence	kingdom	phylum	class	order	family	genus	species
ASV0211	LC814906.1.<1.>741###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Pomacentridae_30863;Pomacentridae_30863;Dascyllus_50744;Dascyllus_trimaculatus_50790	98.985	197	100	6.23e-97	353	species	Eukaryota	Chordata	Actinopteri	Pomacentridae	Pomacentridae	Dascyllus	Dascyllus trimaculatus
ASV0212	OP035224.1.69.1019###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Acanthuriformes_1489937;Acanthuridae_29146;Acanthurus_12912;Acanthurus_blochii_238050	98.985	197	100	6.23e-97	353	species	Eukaryota	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Acanthurus	Acanthurus blochii
ASV0213	OR575556.1.70.1041###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Gobiiformes_1489878;Gobiidae_8220;Eviota_166746;Eviota_epiphanes_1248218	92.574	202	100	1.82e-77	289	family	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	NA	NA
ASV0214	OP035121.1.69.1018###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Chaetodontiformes_1545895;Chaetodontidae_30828;Chaetodon_37948;Chaetodon_citrinellus_109686	85.279	197	100	8.54e-51	200	order	Eukaryota	Chordata	Actinopteri	Chaetodontiformes	NA	NA	NA
ASV0215	LC669519.1.<1.890###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Acropomatiformes_3051910;Pempheridae_30859;Pempheris_463599;Pempheris_adusta_475169	93.434	198	100	4.93e-78	291	family	Eukaryota	Chordata	Actinopteri	Acropomatiformes	Pempheridae	NA	NA
ASV0216	OQ656152.1.70.1016###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Anguilliformes_7933;Muraenidae_46660;Gymnothorax_121281;Gymnothorax_buroensis_876628	99.487	195	100	1.71e-97	355	species	Eukaryota	Chordata	Actinopteri	Anguilliformes	Muraenidae	Gymnothorax	Gymnothorax buroensis
ASV0217	LC858680.1.<1.951###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Gobiiformes_1489878;Gobiidae_8220;Vanderhorstia_579952;Vanderhorstia_phaeosticta_2768284	99.485	194	100	6.12e-97	353	species	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Vanderhorstia	Vanderhorstia phaeosticta
ASV0218	LC499244.1.<1.>170###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Kurtiformes_1489876;Apogonidae_83881;Apogonichthyoides_1003910;Apogonichthyoides_timorensis_2569468	96.491	171	86	2.98e-75	281	genus	Eukaryota	Chordata	Actinopteri	Kurtiformes	Apogonidae	Apogonichthyoides	Apogonichthyoides sp.
ASV0219	LC654206.1.<1.885###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Atheriniformes_8075;Atherinidae_69128;Doboatherina_2697003;Doboatherina_bleekeri_2805493	86.935	199	100	2.36e-56	219	order	Eukaryota	Chordata	Actinopteri	Atheriniformes	NA	NA	NA
ASV0220	KT445895.1.70.1022###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Sphyraenidae_27769;Sphyraenidae_27769;Sphyraena_13691;Sphyraena_jello_445362	100	198	100	8.05e-101	366	species	Eukaryota	Chordata	Actinopteri	Sphyraenidae	Sphyraenidae	Sphyraena	Sphyraena jello
ASV0221	ON210977.1.69.1018###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Acanthuriformes_1489937;Acanthuridae_29146;Acanthurus_12912;Acanthurus_triostegus_175435	98.477	197	100	2.90e-95	348	species	Eukaryota	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Acanthurus	Acanthurus triostegus
ASV0222	OP035184.1.70.1018###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Anguilliformes_7933;Muraenidae_46660;Echidna_189497;Echidna_nebulosa_586818	99.49	196	100	4.79e-98	357	species	Eukaryota	Chordata	Actinopteri	Anguilliformes	Muraenidae	Echidna	Echidna nebulosa
ASV0223	LC777724.1.<1.>168###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Perciformes_8111;Scorpaenidae_8108;Sebastapistes_991003;Sebastapistes_mauritiana_1519039	96.988	166	85	1.06e-74	279	genus	Eukaryota	Chordata	Actinopteri	Perciformes	Scorpaenidae	Sebastapistes	Sebastapistes sp.
ASV0224	MT954104.1.70.1016###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Pomacentridae_30863;Pomacentridae_30863;Abudefduf_36213;Abudefduf_vaigiensis_192871	98.98	196	100	2.23e-96	351	species	Eukaryota	Chordata	Actinopteri	Pomacentridae	Pomacentridae	Abudefduf	Abudefduf vaigiensis
ASV0225	OK576406.1.<1.>532###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Mugiliformes_41872;Mugilidae_8189;Mugil_8190;Mugil_cephalus_48193	98.485	198	100	8.11e-96	350	species	Eukaryota	Chordata	Actinopteri	Mugiliformes	Mugilidae	Mugil	Mugil cephalus
ASV0226	LC848706.1.<1.895###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Pleuronectiformes_8252;Bothidae_8253;Bothus_94920;Bothus_pantherinus_366905	98.99	198	100	1.74e-97	355	species	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Bothidae	Bothus	Bothus pantherinus
ASV0227	MH248200.1.<1.>658###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Gobiiformes_1489878;Gobiidae_8220;Valenciennea_150331;Valenciennea_sexguttata_586873	100	194	100	1.32e-98	359	species	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Valenciennea	Valenciennea sexguttata
ASV0228	LC506690.2.32.977###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Blenniiformes_1489921;Blenniidae_56718;Istiblennius_587054;Istiblennius_enosimae_2012924	97.949	195	100	1.72e-92	339	genus	Eukaryota	Chordata	Actinopteri	Blenniiformes	Blenniidae	Istiblennius	Istiblennius sp.
ASV0229	KF374964.1.<1.>946###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Mugiliformes_41872;Mugilidae_8189;Moolgarda_1111164;Moolgarda_seheli_1111465	97.487	199	100	4.91e-93	340	genus	Eukaryota	Chordata	Actinopteri	Mugiliformes	Mugilidae	Moolgarda	Moolgarda sp.
ASV0230	OP035184.1.70.1018###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Anguilliformes_7933;Muraenidae_46660;Echidna_189497;Echidna_nebulosa_586818	99.49	196	100	4.79e-98	357	species	Eukaryota	Chordata	Actinopteri	Anguilliformes	Muraenidae	Echidna	Echidna nebulosa
ASV0231	MW160687.1.70.1020###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Anguilliformes_7933;Muraenidae_46660;Gymnothorax_121281;Gymnothorax_flavimarginatus_217850	100	196	100	1.03e-99	363	species	Eukaryota	Chordata	Actinopteri	Anguilliformes	Muraenidae	Gymnothorax	Gymnothorax flavimarginatus
ASV0232	JX242925.1.<1.>811###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Anguilliformes_7933;Muraenidae_46660;Gymnothorax_121281;Gymnothorax_margaritophorus_473393	99.5	200	100	2.93e-100	364	species	Eukaryota	Chordata	Actinopteri	Anguilliformes	Muraenidae	Gymnothorax	Gymnothorax margaritophorus
ASV0233	ON000828.2.<1.>875###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Gomphosus_8248;Gomphosus_caeruleus_239037	99.485	194	100	6.12e-97	353	species	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Gomphosus	Gomphosus caeruleus
ASV0234	MW376909.1.69.1014###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Siganidae_75382;Siganidae_75382;Siganus_75041;Siganus_luridus_226939	99.492	197	100	1.34e-98	359	species	Eukaryota	Chordata	Actinopteri	Siganidae	Siganidae	Siganus	Siganus luridus
ASV0235	LC739786.1.<1.888###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Blenniiformes_1489921;Blenniidae_56718;Petroscirtes_57846;Petroscirtes_mitratus_879517	95.918	196	100	8.08e-86	316	genus	Eukaryota	Chordata	Actinopteri	Blenniiformes	Blenniidae	Petroscirtes	Petroscirtes sp.
ASV0236	OP035246.1.69.1017###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Tetraodontiformes_31022;Ostraciidae_31025;Ostracion_94238;Ostracion_meleagris_342444	100	194	100	1.32e-98	359	species	Eukaryota	Chordata	Actinopteri	Tetraodontiformes	Ostraciidae	Ostracion	Ostracion meleagris
ASV0237	MZ598287.1.<1.>170###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Perciformes_8111;Scorpaenidae_8108;Sebastapistes_991003;Sebastapistes_tinkhami_1146990	99.412	170	86	1.37e-83	309	species	Eukaryota	Chordata	Actinopteri	Perciformes	Scorpaenidae	Sebastapistes	Sebastapistes tinkhami
ASV0238	ON360999.1.69.1019###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Acanthuriformes_1489937;Acanthuridae_29146;Zebrasoma_75045;Zebrasoma_scopas_75046	99.49	196	100	4.79e-98	357	species	Eukaryota	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Zebrasoma	Zebrasoma scopas
ASV0239	GU256527.1.922.1870###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Scombriformes_1489894;Scombridae_8224;Katsuwonus_13580;Katsuwonus_pelamis_8226	100	195	100	3.68e-99	361	species	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombridae	Katsuwonus	Katsuwonus pelamis
ASV0240	KT600971.1.<1.>764###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Tetraodontiformes_31022;Balistidae_31024;Rhinecanthus_245704;Rhinecanthus_rectangulus_480297	99.495	198	100	3.75e-99	361	species	Eukaryota	Chordata	Actinopteri	Tetraodontiformes	Balistidae	Rhinecanthus	Rhinecanthus rectangulus
ASV0241	OQ883823.1.<1.>171###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Myctophiformes_68514;Myctophidae_68515;Bolinichthys_123244;Bolinichthys_photothorax_1519956	100	171	86	8.22e-86	316	species	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Bolinichthys	Bolinichthys photothorax
ASV0242	AP006781.1.74.1047###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Syngnathiformes_129912;Aulostomidae_150446;Aulostomus_150447;Aulostomus_chinensis_150448	99.5	200	100	2.93e-100	364	species	Eukaryota	Chordata	Actinopteri	Syngnathiformes	Aulostomidae	Aulostomus	Aulostomus chinensis
ASV0243	LC774649.1.<1.888###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Chaetodontiformes_1545895;Chaetodontidae_30828;Chaetodon_37948;Chaetodon_auriga_39042	100	195	100	3.68e-99	361	species	Eukaryota	Chordata	Actinopteri	Chaetodontiformes	Chaetodontidae	Chaetodon	Chaetodon auriga
ASV0244	LC499178.1.<1.>168###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Perciformes_8111;Caracanthidae_179985;Caracanthus_274727;Caracanthus_maculatus_274728	97.619	168	86	1.76e-77	289	genus	Eukaryota	Chordata	Actinopteri	Perciformes	Caracanthidae	Caracanthus	Caracanthus sp.
ASV0245	EU601212.1.22.>925###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Scarus_59660;Scarus_rubroviolaceus_247628	98.492	199	100	2.27e-96	351	species	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Scarus	Scarus rubroviolaceus
ASV0246	KY815306.1.<1.>881###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Iniistius_315409;Iniistius_pavo_990596	100	196	100	1.03e-99	363	species	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Iniistius	Iniistius pavo
ASV0247	AY279589.1.<1.>936###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Coris_126328;Coris_aygula_241280	99.485	194	100	6.12e-97	353	species	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Coris	Coris aygula
ASV0248	LC731882.1.<1.887###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Holocentriformes_1490028;Holocentridae_47697;Myripristis_47699;Myripristis_pralinia_753646	100	197	100	2.88e-100	364	species	Eukaryota	Chordata	Actinopteri	Holocentriformes	Holocentridae	Myripristis	Myripristis pralinia
ASV0249	OP035098.1.69.1013###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Thalassoma_76337;Thalassoma_trilobatum_239059	99.485	194	100	6.12e-97	353	species	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Thalassoma	Thalassoma trilobatum
ASV0250	OP035151.1.70.1017###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Blenniiformes_1489921;Blenniidae_56718;Cirripectes_703910;Cirripectes_quagga_879476	98.462	195	100	3.71e-94	344	species	Eukaryota	Chordata	Actinopteri	Blenniiformes	Blenniidae	Cirripectes	Cirripectes quagga
ASV0251	LC645264.1.<1.891###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Blenniiformes_1489921;Blenniidae_56718;Blenniella_879711;Blenniella_bilitonensis_1405635	87.692	195	100	3.90e-59	228	order	Eukaryota	Chordata	Actinopteri	Blenniiformes	NA	NA	NA
ASV0252	OR095168.1.70.1014###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Blenniiformes_1489921;Tripterygiidae_57771;Enneapterygius_130720;Enneapterygius_hsiojenae_3000270	90.452	199	100	5.03e-68	257	family	Eukaryota	Chordata	Actinopteri	Blenniiformes	Tripterygiidae	NA	NA
ASV0253	OP718224.1.70.1024###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Syngnathiformes_129912;Mullidae_30854;Parupeneus_334899;Parupeneus_barberinus_475168	98.485	198	100	8.11e-96	350	species	Eukaryota	Chordata	Actinopteri	Syngnathiformes	Mullidae	Parupeneus	Parupeneus barberinus
ASV0254	LC584263.1.<1.>545###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Kurtiformes_1489876;Apogonidae_83881;Ostorhinchus_638290;Ostorhinchus_taeniophorus_247547	98.974	195	100	7.97e-96	350	species	Eukaryota	Chordata	Actinopteri	Kurtiformes	Apogonidae	Ostorhinchus	Ostorhinchus taeniophorus
ASV0255	PQ369935.1.69.1017###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Acanthuriformes_1489937;Acanthuridae_29146;Acanthurus_12912;Acanthurus_nigricauda_753644	100	197	100	2.88e-100	364	species	Eukaryota	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Acanthurus	Acanthurus nigricauda
ASV0256	MZ329994.1.69.1009###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Aulopiformes_68510;Synodontidae_81390;Saurida_143309;Saurida_nebulosa_1074258	98.438	192	100	1.69e-92	339	species	Eukaryota	Chordata	Actinopteri	Aulopiformes	Synodontidae	Saurida	Saurida nebulosa
ASV0257	OP035253.1.69.1017###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Acanthuriformes_1489937;Acanthuridae_29146;Naso_75027;Naso_lituratus_75028	100	197	100	2.88e-100	364	species	Eukaryota	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Naso	Naso lituratus
ASV0258	LC669519.1.<1.890###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Acropomatiformes_3051910;Pempheridae_30859;Pempheris_463599;Pempheris_adusta_475169	94.949	198	100	1.37e-83	309	family	Eukaryota	Chordata	Actinopteri	Acropomatiformes	Pempheridae	NA	NA
ASV0259	OP035076.1.69.1018###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Holocentriformes_1490028;Holocentridae_47697;Sargocentron_47707;Sargocentron_punctatissimum_47711	100	197	100	2.88e-100	364	species	Eukaryota	Chordata	Actinopteri	Holocentriformes	Holocentridae	Sargocentron	Sargocentron punctatissimum
ASV0260	AP009163.1.69.1018###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Acanthuriformes_1489937;Acanthuridae_29146;Naso_75027;Naso_lopezi_238060	100	197	100	2.88e-100	364	species	Eukaryota	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Naso	Naso lopezi
ASV0261	AP006825.1.70.1023###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Ephippiformes_1489930;Ephippidae_75381;Platax_75031;Platax_orbicularis_75032	100	196	100	1.03e-99	363	species	Eukaryota	Chordata	Actinopteri	Ephippiformes	Ephippidae	Platax	Platax orbicularis
ASV0262	EU601189.1.22.>927###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Hipposcarus_188113;Hipposcarus_longiceps_188114	98.492	199	100	2.27e-96	351	species	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Hipposcarus	Hipposcarus longiceps
ASV0263	MH248174.1.<1.>677###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Anguilliformes_7933;Congridae_7941;Conger_7942;Conger_cinereus_1146962	94.5	200	100	4.98e-83	307	family	Eukaryota	Chordata	Actinopteri	Anguilliformes	Congridae	NA	NA
ASV0264	LC672493.1.<1.895###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Carangiformes_1489907;Carangidae_8157;Scomberoides_173340;Scomberoides_lysan_334379	99.495	198	100	3.75e-99	361	species	Eukaryota	Chordata	Actinopteri	Carangiformes	Carangidae	Scomberoides	Scomberoides lysan
ASV0265	MH248183.1.<1.>671###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Anguilliformes_7933;Muraenidae_46660;Gymnothorax_121281;Gymnothorax_undulatus_473461	99.492	197	100	1.34e-98	359	species	Eukaryota	Chordata	Actinopteri	Anguilliformes	Muraenidae	Gymnothorax	Gymnothorax undulatus
ASV0266	LC731801.1.<1.890###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Holocentriformes_1490028;Holocentridae_47697;Sargocentron_47707;Sargocentron_diadema_47709	99.5	200	100	2.93e-100	364	species	Eukaryota	Chordata	Actinopteri	Holocentriformes	Holocentridae	Sargocentron	Sargocentron diadema
ASV0267	KY815249.1.<1.>888###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Cheilinus_202584;Cheilinus_chlorourus_290105	100	196	100	1.03e-99	363	species	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Cheilinus	Cheilinus chlorourus
ASV0268	KT600959.1.<1.>759###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Tetraodontiformes_31022;Monacanthidae_143346;Oxymonacanthus_303723;Oxymonacanthus_longirostris_303724	95.408	196	100	1.05e-84	313	genus	Eukaryota	Chordata	Actinopteri	Tetraodontiformes	Monacanthidae	Oxymonacanthus	Oxymonacanthus sp.
ASV0269	LC069727.1.<1.>169###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Blenniiformes_1489921;Blenniidae_56718;Entomacrodus_57795;Entomacrodus_decussatus_1405646	96.45	169	86	3.81e-74	278	genus	Eukaryota	Chordata	Actinopteri	Blenniiformes	Blenniidae	Entomacrodus	Entomacrodus sp.
ASV0270	MW133237.1.70.1019###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Anguilliformes_7933;Muraenidae_46660;Gymnothorax_121281;Gymnothorax_rueppelliae_3040411	99.49	196	100	4.79e-98	357	species	Eukaryota	Chordata	Actinopteri	Anguilliformes	Muraenidae	Gymnothorax	Gymnothorax rueppelliae
ASV0271	AP019316.1.69.1018###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Gobiiformes_1489878;Gobiidae_8220;Amblygobius_166730;Amblygobius_phalaena_166732	98.969	194	100	2.85e-95	348	species	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Amblygobius	Amblygobius phalaena
ASV0272	KT600968.1.<1.>764###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Tetraodontiformes_31022;Balistidae_31024;Rhinecanthus_245704;Rhinecanthus_aculeatus_245705	99.495	198	100	3.75e-99	361	species	Eukaryota	Chordata	Actinopteri	Tetraodontiformes	Balistidae	Rhinecanthus	Rhinecanthus aculeatus
ASV0273	OP035107.2.70.1024###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Syngnathiformes_129912;Mullidae_30854;Mulloidichthys_342442;Mulloidichthys_flavolineatus_652446	99.492	197	100	1.34e-98	359	species	Eukaryota	Chordata	Actinopteri	Syngnathiformes	Mullidae	Mulloidichthys	Mulloidichthys flavolineatus
ASV0274	OP035147.1.70.1022###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Scombriformes_1489894;Gempylidae_27767;Gempylus_13542;Gempylus_serpens_13543	100	195	100	3.68e-99	361	species	Eukaryota	Chordata	Actinopteri	Scombriformes	Gempylidae	Gempylus	Gempylus serpens
ASV0275	AP009169.1.69.1016###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Monodactylidae_30853;Monodactylidae_30853;Monodactylus_334895;Monodactylus_argenteus_334896	96.939	196	100	1.04e-89	329	genus	Eukaryota	Chordata	Actinopteri	Monodactylidae	Monodactylidae	Monodactylus	Monodactylus sp.
ASV0276	OM494539.1.69.1018###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Acanthuriformes_1489937;Acanthuridae_29146;Naso_75027;Naso_hexacanthus_175442	100	197	100	2.88e-100	364	species	Eukaryota	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Naso	Naso hexacanthus
ASV0277	PP467742.1.<1.>675###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Spariformes_1489931;Sparidae_8169;Spondyliosoma_50594;Spondyliosoma_cantharus_50595	95.939	197	100	6.32e-87	320	genus	Eukaryota	Chordata	Actinopteri	Spariformes	Sparidae	Spondyliosoma	Spondyliosoma sp.
ASV0278	JQ707060.1.<1.>843###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Pomacentridae_30863;Pomacentridae_30863;Stegastes_80992;Stegastes_albifasciatus_997984	96	200	100	4.94e-88	324	genus	Eukaryota	Chordata	Actinopteri	Pomacentridae	Pomacentridae	Stegastes	Stegastes sp.
ASV0279	AY279590.1.<1.>875###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Coris_126328;Coris_gaimard_241281	99.485	194	100	6.12e-97	353	species	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Coris	Coris gaimard
ASV0280	OP718224.1.70.1024###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Syngnathiformes_129912;Mullidae_30854;Parupeneus_334899;Parupeneus_barberinus_475168	100	198	100	8.05e-101	366	species	Eukaryota	Chordata	Actinopteri	Syngnathiformes	Mullidae	Parupeneus	Parupeneus barberinus
ASV0281	LC499415.1.<1.>168###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Blenniiformes_1489921;Blenniidae_56718;Blenniella_879711;Blenniella_periophthalmus_1146955	99.405	168	86	1.75e-82	305	species	Eukaryota	Chordata	Actinopteri	Blenniiformes	Blenniidae	Blenniella	Blenniella periophthalmus
ASV0282	PQ412525.1.69.1020###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Acanthuriformes_1489937;Acanthuridae_29146;Acanthurus_12912;Acanthurus_tennentii_586769	100	197	100	2.88e-100	364	species	Eukaryota	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Acanthurus	Acanthurus tennentii
ASV0283	MW630248.1.<1.>827###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Pomacentridae_30863;Pomacentridae_30863;Plectroglyphidodon_80986;Plectroglyphidodon_johnstonianus_997975	97.475	198	100	6.28e-92	337	genus	Eukaryota	Chordata	Actinopteri	Pomacentridae	Pomacentridae	Plectroglyphidodon	Plectroglyphidodon sp.
ASV0284	AP011912.1.69.1018###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Tetraodontiformes_31022;Tetraodontidae_31031;Canthigaster_223138;Canthigaster_valentini_223152	100	200	100	6.30e-102	370	species	Eukaryota	Chordata	Actinopteri	Tetraodontiformes	Tetraodontidae	Canthigaster	Canthigaster valentini
ASV0285	EU601180.1.22.>926###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Calotomus_188111;Calotomus_spinidens_544409	95.918	196	100	8.13e-86	316	genus	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Calotomus	Calotomus sp.
ASV0286	MH248213.1.<1.>651###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Spariformes_1489931;Lethrinidae_30848;Lethrinus_119720;Lethrinus_nebulosus_182658	95.918	196	100	8.08e-86	316	genus	Eukaryota	Chordata	Actinopteri	Spariformes	Lethrinidae	Lethrinus	Lethrinus sp.
ASV0287	AP009144.1.70.1023###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Clupeiformes_32446;Clupeidae_55118;Spratelloides_365051;Spratelloides_delicatulus_373251	97.561	205	100	2.34e-96	351	genus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Spratelloides	Spratelloides sp.
ASV0288	PP140670.1.11089.12034###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Siganidae_75382;Siganidae_75382;Siganus_75041;Siganus_argenteus_225755	98.985	197	100	6.23e-97	353	species	Eukaryota	Chordata	Actinopteri	Siganidae	Siganidae	Siganus	Siganus argenteus
ASV0289	KF374981.1.<1.>951###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Mugiliformes_41872;Mugilidae_8189;Mugil_8190;Mugil_rubrioculus_1111466	98.485	198	100	8.11e-96	350	species	Eukaryota	Chordata	Actinopteri	Mugiliformes	Mugilidae	Mugil	Mugil rubrioculus
ASV0290	MZ329993.1.70.1014###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Beloniformes_76071;Belonidae_94935;Tylosurus_129072;Tylosurus_crocodilus_129077	99.49	196	100	4.79e-98	357	species	Eukaryota	Chordata	Actinopteri	Beloniformes	Belonidae	Tylosurus	Tylosurus crocodilus
ASV0291	AP006034.1.69.1015###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Scombriformes_1489894;Scombridae_8224;Thunnus_8234;Thunnus_thynnus_8237	100	195	100	3.68e-99	361	species	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombridae	Thunnus	Thunnus thynnus
ASV0292	LC584263.1.<1.>545###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Kurtiformes_1489876;Apogonidae_83881;Ostorhinchus_638290;Ostorhinchus_taeniophorus_247547	98.462	195	100	3.71e-94	344	species	Eukaryota	Chordata	Actinopteri	Kurtiformes	Apogonidae	Ostorhinchus	Ostorhinchus taeniophorus
ASV0293	LC499243.2.<1.892###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Kurtiformes_1489876;Apogonidae_83881;Pseudamiops_475183;Pseudamiops_gracilicauda_1156134	86.935	199	100	2.36e-56	219	order	Eukaryota	Chordata	Actinopteri	Kurtiformes	NA	NA	NA
